Version=2
US-New Mexico,Carlsbad,-104.25,32.43
US-New Mexico,Gallup,-108.75,35.53
US-New Mexico,Santa Fe,-105.93,35.68
US-New York,Albany,-73.75,42.65
US-New York,Binghamton,-75.92,42.1
US-New York,Buffalo,-78.87,42.88
US-New York,Niagara Falls,-79.05,43.1
US-New York,Rochester,-77.6,43.17
US-New York,Syracuse,-76.15,43.05
US-New York,Utica,-75.23,43.1
US-New York,White Plains,-73.77,41.03
US-North Carolina,Asheville,-82.55,35.6
US-North Carolina,Charlotte,-80.85,35.23
US-North Carolina,Greensboro,-79.78,36.07
US-North Carolina,Raleigh,-78.63,35.78
US-North Carolina,Wilmington,-77.95,34.23
US-North Carolina,Winston-Salem,-80.25,36.1
US-North Dakota,Fargo,-96.78,46.88
US-North Dakota,Minot,-101.3,48.23
US-Ohio,Akron,-81.52,41.08
US-Ohio,Cincinnati,-84.52,39.1
US-Ohio,Cleveland,-81.7,41.5
US-Ohio,Columbus,-83,40
US-Ohio,Dayton,-84.2,39.77
US-Ohio,Lima,-84.1,40.75
US-Ohio,Toledo,-83.55,41.65
US-Ohio,Youngstown,-80.65,41.1
US-Oklahoma,Oklahoma City,-97.52,35.47
US-Oklahoma,Tulsa,-96,36.15
US-Oregon,Eugene,-123.1,44.05
US-Oregon,Portland,-122.68,45.52
US-Oregon,Salem,-123.03,44.93
US-Pennsylvania,Allentown,-75.47,40.6
US-Pennsylvania,Altoona,-78.4,40.52
US-Pennsylvania,Erie,-80.08,42.12
US-Pennsylvania,Harrisburg,-76.88,40.27
US-Pennsylvania,Philadelphia,-75.15,39.95
US-Pennsylvania,Pittsburgh,-80,40.43
US-Pennsylvania,Scranton,-75.67,41.42
US-Pennsylvania,York,-76.73,39.97
US-Puerto Rico,San Juan,-66.07,18.45
US-Rhode Island,Providence,-71.42,41.83
US-South Carolina,Charleston,-79.93,32.78
US-South Carolina,Columbia,-81.03,34
US-South Carolina,Greenville,-82.4,34.85
US-South Dakota,Pierre,-100.35,44.37
US-South Dakota,Rapid City,-103.22,44.08
US-South Dakota,Sioux Falls,-96.73,43.55
US-Tennessee,Chattanooga,-85.32,35.05
US-Tennessee,Knoxville,-83.92,35.97
US-Tennessee,Memphis,-90.05,35.15
US-Tennessee,Nashville,-86.78,36.17
US-Texas,Abilene,-99.73,32.45
US-Texas,Amarillo,-101.83,35.2
US-Texas,Austin,-97.75,30.27
US-Texas,Beaumont,-94.1,30.08
US-Texas,Brownsville,-97.5,25.9
US-Texas,Corpus Christi,-97.4,27.8
US-Texas,Dallas,-96.8,32.78
US-Texas,El Paso,-106.48,31.77
US-Texas,Fort Worth,-97.33,32.75
